photo_id,user,text,date,new_hashtags,urls,Positive,Neutral,Negative,Compound,Persons,Organizations,Locations,Nationalities/religiious groups,Date,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,sexual_explicit,image+caption_target,political_leaning
50689,richard_cz,https://x.com/amyforsandiego/status/1845580588390187043,2024-10-15T21:01:20+00:00,,https://x.com/amyforsandiego/status/1845580588390187043,0.0,1.0,0.0,0.0,[],[],[],[],[],0.015224101953208447,0.0007650823099538684,0.0009386175661347806,0.0010740791913121939,0.005782672204077244,0.013242453336715698,0.001064123003743589,anti-harris,R
52821,richard_cz,You are making an unfounded assumption.,2024-10-28T14:39:43+00:00,,,0.0,1.0,0.0,0.0,[],[],[],[],[],0.005937068723142147,0.0004323636821936816,0.0009632032015360892,0.000957995536737144,0.0034742923453450203,0.0007036783499643207,0.0006709814188070595,anti-harris,R
54562,Unknown,Fake n Funny,2024-11-03T09:58:29+00:00,,,0.483,0.0,0.517,-0.0516,[],[],[],[],[],0.1561444103717804,0.0033363583497703075,0.009026812389492989,0.0026003653183579445,0.14621271193027496,0.002283063717186451,0.003079609479755163,pro-trump,R
56518,mruponly,Tramp imo has personality except he lost it after shotting and enron mask rim job made him weak.,2024-11-04T11:38:14+00:00,,,0.0,0.755,0.245,-0.6369,[],[],[],[],[],0.10830345004796982,0.003527742112055421,0.007847693748772144,0.014573556371033192,0.08333251625299454,0.0022679814137518406,0.0025932404678314924,anti-trump,D
67142,,Hunting.... moose))))),2024-11-07T04:16:37+00:00,,,0.0,1.0,0.0,0.0,[],[],[],[],[],0.004301948472857475,0.0005010082968510687,0.0011183704482391477,0.0012614225270226598,0.002298692474141717,0.0013782222522422671,0.0007711242069490254,pro-trump,R
71625,,Should say bitches underneath lol.,2024-11-11T02:36:27+00:00,,,0.289,0.309,0.402,-0.2732,[],[],[],[],[],0.8325191736221313,0.08465339243412018,0.7506237030029297,0.0067468262277543545,0.7269570827484131,0.02463686652481556,0.12679503858089447,anti-trump,D
72041,,Ewww,2024-11-12T09:37:48+00:00,,,0.0,1.0,0.0,0.0,[],[],[],[],[],0.004533219151198864,0.000509264471475035,0.0010547316633164883,0.0012997784651815891,0.002490357728675008,0.001020351075567305,0.0007105566328391433,N/A,N/A
72489,,Gross.,2024-11-13T01:49:30+00:00,,,0.0,0.0,1.0,-0.4767,[],[],[],[],[],0.6624799966812134,0.013061407953500748,0.04943474009633064,0.0024769469164311886,0.6229121088981628,0.004097498022019863,0.0023488847073167562,anti-harris,R
74054,,If gets to inauguration. They will do anything. Probably the grid. We will have to go door to door checking on them and find them under their bed in fetal position.,2024-11-16T21:48:10+00:00,,,0.0,1.0,0.0,0.0,[],[],[],[],[],0.15623125433921814,0.005151114892214537,0.004111414775252342,0.019821772351861,0.11169572174549103,0.010454011149704456,0.006668062414973974,pro-trump,R
52820,mruponly,,2024-10-28T13:19:09+00:00,,,0.0,0.0,0.0,0.0,[],[],[],[],[],0.004802461247891188,0.000467320263851434,0.0012864255113527179,0.0009345992584712803,0.00252965628169477,0.001122475485317409,0.0008461067918688059,pro-trump,R
53535,MazelTov845,The head of the sanitation department.,2024-10-31T14:34:31+00:00,,,0.0,1.0,0.0,0.0,[],[],[],[],[],0.008960001170635223,0.0005327746621333063,0.0009311839239671826,0.0007930282154120505,0.005868781823664904,0.0006277600768953562,0.0007959441863931715,anti-harris,R
56459,Nin9Fingers,But please also remember that Hitler once fought against the commies. So this uniform in the picture might be not the right one.,2024-11-04T10:37:05+00:00,,,0.11,0.781,0.11,0.0,['Hitler'],[],[],[],[],0.01255969051271677,0.0005626421188935637,0.0008112187497317791,0.0009080711752176285,0.007935771718621254,0.005081774666905403,0.0005642456817440689,anti-harris,R
60286,,I hate trum because he damaged all Afghan people,2024-11-05T12:48:02+00:00,,,0.0,0.476,0.524,-0.765,[],[],[],['Afghan'],[],0.6553194522857666,0.049277447164058685,0.10308733582496643,0.05633991211652756,0.5750513672828674,0.38080689311027527,0.005273174028843641,anti-trump,D
62045,Still_ty_ping,I bet the secret raid in pdiddys house was done to erase all the 18+ contents tapes from Diddy probably of kamala too who is rumoured to have been whoring herself to many celebs ..,2024-11-05T18:35:37+00:00,,,0.0,1.0,0.0,0.0,['kamala'],['Diddy'],[],[],[],0.017797671258449554,0.0007674437947571278,0.0014065839350223541,0.0030054012313485146,0.01177664939314127,0.002100436482578516,0.000914149743039161,anti-harris,R
67502,rajudada1993,Okay I deleted that post,2024-11-06T07:32:42+00:00,,,0.388,0.612,0.0,0.2263,[],[],[],[],[],0.004316993057727814,0.0005379556096158922,0.0012156958691775799,0.00145899155177176,0.0022852979600429535,0.0011938551906496286,0.000932325900066644,anti-harris,R
68479,chrisocn69,Mass media mind control!,2024-11-06T13:52:32+00:00,,,0.0,1.0,0.0,0.0,[],[],[],[],[],0.008707646280527115,0.00044662688742391765,0.0008890374447219074,0.0005633326945826411,0.0059429677203297615,0.0009576624725013971,0.0005097603425383568,anti-harris,R
69591,Maronads,Soon Canada will become full of ðŸŒˆ gay country,2024-11-07T09:52:16+00:00,,,0.0,1.0,0.0,0.0,[],[],['Canada'],[],[],0.7529850602149963,0.05824905261397362,0.03779721260070801,0.010891458950936794,0.37175828218460083,0.7325457334518433,0.023949062451720238,anti-harris,R
71314,,Yes and entertaining,2024-11-10T12:38:24+00:00,,,0.848,0.152,0.0,0.6808,[],[],[],[],[],0.0044546411372721195,0.000501455448102206,0.0010785162448883057,0.0012791315093636513,0.0023594521917402744,0.001091193174943328,0.0008931808988563716,pro-trump,R
71481,,They can't seem to digest that. This is beyond brainwashed.,2024-11-10T15:42:38+00:00,,,0.0,1.0,0.0,0.0,[],[],[],[],[],0.4650736153125763,0.00793391652405262,0.007315776776522398,0.0025612693279981613,0.45633944869041443,0.010130827315151691,0.0010058451443910599,anti-trump,D
73412,Maronads,,2024-11-15T04:10:31+00:00,,,0.0,0.0,0.0,0.0,[],[],[],[],[],0.004802461247891188,0.000467320263851434,0.0012864255113527179,0.0009345992584712803,0.00252965628169477,0.001122475485317409,0.0008461067918688059,anti-harris,R
